ent_num,query,region,country
6542,Carrera 24D Oeste No. 6-237,Cali,Colombia
6547,Calle 78 No. 53-70 Local 218,Barranquilla,Colombia
6550,Km. 3 Via Marsella Parque Industrial,Pereira,Colombia
6550,Carrera 10 No. 34-21 Dosq.,Pereira,Colombia
6550,Apartado Aereo 3786,Pereira,Colombia
6556,Avenida 2N No. 7N-55 of. 501,Cali,Colombia
6556,Carrera 53 No. 13-55 apt. 102B,Cali,Colombia
6556,Carrera 3 No. 12-40,Cali,Colombia
6563,Carrera 51B No. 94-110,Barranquilla,Colombia
6565,Carrera 54 No. 74-79,Barranquilla,Colombia
6565,Aereo Apartado 51881,Barranquilla,Colombia
4307,c/o INVERSIONES EL PENON S.A.,Cali,Colombia
4307,c/o CONSTRUCTORA DIMISA LTDA.,Cali,Colombia
4307,c/o AGROPECUARIA BETANIA LTDA.,Cali,Colombia
4307,c/o VALLADARES LTDA.,Cali,Colombia
4307,c/o INVERSIONES GEMINIS S.A.,Cali,Colombia
4307,c/o W. HERRERA Y CIA. S. EN C.,Cali,Colombia
4307,Calle 18A No. 8A-20,Jamundi,Colombia
4307,c/o INVERSIONES EL GRAN CRISOL LTDA.,Cali,Colombia
4291,c/o AGROPECUARIA BETANIA LTDA.,Cali,Colombia
4291,c/o AGROPECUARIA Y REFORESTADORA HERREBE LTDA.,Cali,Colombia
4291,c/o CONSTRUEXITO S.A.,Cali,Colombia
4291,c/o INVERSIONES BETANIA LTDA.,Cali,Colombia
4291,c/o INVERSIONES INVERVALLE S.A.,Cali,Colombia
4291,c/o VALLADARES LTDA.,Cali,Colombia
4291,c/o SOCOVALLE,Cali,Colombia
4291,c/o W. HERRERA Y CIA.,Cali,Colombia
4291,c/o INVERSIONES GEMINIS S.A.,Cali,Colombia
4291,c/o INVERSIONES HERREBE LTDA.,Cali,Colombia
4291,c/o INVERSIONES EL GRAN CRISOL LTDA.,Cali,Colombia
4521,c/o INVHERESA S.A.,Cali,Colombia
4521,c/o ALKALA ASOCIADOS S.A.,Cali,Colombia
4525,c/o W. HERRERA Y CIA. S. EN C.,Cali,Colombia
4525,c/o INVERSIONES EL GRAN CRISOL LTDA.,Cali,Colombia
4526,c/o INVHERESA S.A.,Cali,Colombia
4526,c/o ALKALA ASOCIADOS S.A.,Cali,Colombia
4381,c/o CONSTRUCTORA DIMISA LTDA.,Cali,Colombia
4381,c/o INDUSTRIA AVICOLA PALMASECA S.A.,Cali,Colombia
4381,c/o VALLE COMUNICACIONES LTDA.,Cali,Colombia
4381,c/o DISTRIBUIDORA DE ELEMENTOS PARA LA CONSTRUCCION S.A.,Cali,Colombia
4395,c/o INVERSIONES GEMINIS S.A.,Cali,Colombia
4395,c/o CONSTRUCTORA DIMISA LTDA.,Cali,Colombia
4395,c/o INVERSIONES EL PENON S.A.,Cali,Colombia
4395,c/o COMPANIA ADMINISTRADORA DE VIVIENDA S.A.,Cali,Colombia
6333,c/o AGRICOLA SONGO LTDA.,Barranquilla,Colombia
6333,c/o GRAN COMPANIA DE HOTELES LTDA.,Barranquilla,Colombia
